"site"	"P_mgL"	"C_mgL"	"N_mgL"	"Q_ft3S"
"09506000"	"0.102019230769231"	"7.205"	"0.594787234042553"	"105"
"09504420"	"0.0456521739130435"	"3.64285714285714"	"0.428181818181818"	"28"
"345954111441800"	"0.03"	"0.4"	"0.1"	NA
"345436111434000"	"0.04"	"0.8"	"0.14"	NA
"09508500"	"0.0697426470588235"	"5.18"	"0.473509433962264"	NA
"333654111421501"	"0.163333333333333"	"16.4666666666667"	"2.59666666666667"	NA
"09505800"	"0.030368"	"1.2"	"0.208631578947368"	"628"
"09508300"	"0.0242427184466019"	"6.32222222222222"	"0.485921052631579"	"14.5153"
"09381950"	"3.2575"	"0.95"	"9.275"	NA
"09505200"	"0.03"	"11"	"0.22"	"7.3"
"09510000"	"0.0904"	"5.11081081081081"	"0.563738738738739"	"511.127049180328"
"334236111391501"	"0.01"	"2.4"	"0.15"	NA
"09382000"	"2.648"	"180.275"	"7.726"	"231.787969924812"
"09380000"	"0.0141116389548694"	"3.62222222222222"	"0.661277108433735"	"14808.3322395406"
"09502000"	"0.0709459459459459"	"5.09722222222222"	"0.945113122171946"	"802.792614942529"
"09379910"	"0.0102666666666667"	"2.80769230769231"	"0.605333333333333"	NA
"09401200"	"5.55516129032258"	"121.828571428571"	"79.576935483871"	"657.363636363636"
"09499000"	"0.0331034482758621"	"2.32558139534884"	"0.461551724137931"	NA
"09401260"	"35.6"	"736"	"100"	NA
"09500500"	"0.082"	"4.48"	"0.464"	NA
"09481710"	"5.46538461538462"	"31.5652173913043"	"19.7739130434783"	NA
"09474000"	"0.687155963302752"	"21.69375"	"2.69144230769231"	"453.327581120944"
"09401110"	"5.735"	"701"	"18.7125"	NA
"09498500"	"0.641473684210526"	"52.0269230769231"	"2.80160427807487"	NA
"09485700"	"0.616666666666667"	"96"	"2.39166666666667"	NA
"09498400"	"0.140969696969697"	"5.83636363636364"	"0.6168125"	NA
"09485570"	"0.378"	"39.875"	"1.716"	NA
"09484500"	"0.383333333333333"	"73.2285714285714"	"1.84111111111111"	NA
"09485450"	"2.19666666666667"	"85.75"	"1.86666666666667"	NA
"09484000"	"3.435"	"81.5"	"7.95"	NA
"09473500"	"2.1415"	"103.284"	"7.02647058823529"	"537.4"
"09470000"	"0.367906976744186"	"17.984375"	"1.81271604938272"	NA
"09473100"	"2.24594594594595"	"17"	"5.51837837837838"	NA
"09400568"	"8.5825"	"1120"	"35.25"	NA
"09466500"	"0.8425"	"19.9203389830508"	"2.44678899082569"	NA
"09490500"	"0.0669767441860465"	"2.73023255813954"	"0.309767441860465"	NA
"09494000"	"0.0802325581395349"	"3.02682926829268"	"0.50046511627907"	NA
"09390500"	"0.0554545454545455"	"6.93409090909091"	"0.585227272727273"	NA
"09537500"	"0.568571428571429"	"15.225"	"2.198"	NA
"09448500"	"0.730761904761905"	"18.4555555555556"	"1.70210784313725"	"2059.21052631579"
"335935109275200"	"0.0433333333333333"	"3"	"0.17"	NA
"340049109272500"	"0.0533333333333333"	"2.2"	"0.3"	NA
"340013109272500"	"0.0466666666666667"	"3"	"0.453333333333333"	NA
"340008109272500"	"0.04"	"3.5"	"0.516666666666667"	NA
"09383400"	"0.0652991452991453"	"3.92619047619048"	"0.643247863247863"	"4.95"
"340046109272200"	"0.295"	"12"	"1.17"	NA
"335942109271600"	"0.0433333333333333"	"2.8"	"0.526666666666667"	NA
"340020109271500"	"0.0633333333333333"	"4.3"	"0.16"	NA
"335926109270900"	"0.106666666666667"	"3.4"	"0.413333333333333"	NA
"340400109270800"	"0.12"	"1.4"	"0.37"	NA
"340248109270000"	"0.0933333333333333"	"5.2"	"0.646666666666667"	NA
"340124109270000"	"0.0966666666666667"	"2"	"0.133333333333333"	NA
"340203109253700"	"0.113333333333333"	"5.3"	"0.36"	NA
"09384000"	"0.345714285714286"	"8.446875"	"1.05079545454545"	"6.15"
"09442000"	"0.622444444444444"	"14.5714285714286"	"1.33911111111111"	NA
"09444600"	"0.454038461538462"	"7.21395348837209"	"1.0428"	NA
"09438000"	"0.573333333333333"	"8"	"0.888888888888889"	"126.198275862069"
"11477000"	"0.161189189189189"	"5.33225806451613"	"0.541071428571429"	"27921.0200445434"
"410003124050502"	"1.43"	"54.75"	"3.675"	NA
